Ticker Name,3-Year BETA,5-Year BETA,10-Year BETA,3-Year Standard Deviation,5-Year Standard Deviation,10-Year Standard Deviation,3-Year Sharpe,5-Year Sharpe,10-Year Sharpe,3-Year Treynor Ratio,5-Year Treynor Ratio,10-Year Treynor Ratio
PMIF.TO,0.33,0.02,0,4.9,5.67,0,-0.25,0.07,0,-4.13,12.74,0
PMIF-U.TO,0.53,0,0,5.17,0,0,-0.1,0,0,-1.25,0,0
XIU.TO,1,0.94,0.94,14.04,15.35,12,0.61,0.45,0.6,8.11,6.35,7.2
VFV.TO,0.95,0.97,0.98,13.9,14.63,12.59,0.66,0.66,1.06,9.18,9.36,13.64
XIC.TO,1,0.99,0.98,13.94,16.02,12.42,0.61,0.42,0.55,8.08,5.75,6.45
CSAV.TO,0,0,0,0.55,0,0,10.93,0,0,0,0,0
XSP.TO,1.18,1.21,1.02,17.94,19.05,15.03,0.46,0.42,0.67,6.03,5.42,9.25
ZCN.TO,1,0.99,0.98,13.95,16.03,12.42,0.61,0.42,0.55,8.08,5.74,6.45
ZEA.TO,1.01,1,0,14.4,13.56,0,0.36,0.25,0,4.26,2.59,0
VUN.TO,0.97,1,1.01,14.06,15.12,12.89,0.59,0.58,0.98,8.06,8.14,12.56
XEF.TO,1,1,1,14.08,13.47,12.08,0.32,0.22,0.5,3.67,2.18,5.47
ZAG.TO,1.04,1.01,0.99,6.32,6.02,5.03,-1.1,-0.24,0.09,-6.75,-1.63,0.32
VCN.TO,1,0.99,0.99,14,16.12,12.56,0.64,0.41,0.53,8.47,5.59,6.18
PSA.TO,0,0,0,0.56,0.45,0,14.3,14.45,0,0,0,0
XBB.TO,1.05,1.02,1,6.36,6.04,5.04,-1.1,-0.24,0.08,-6.73,-1.61,0.29
HISA.NE,0,0,0,0.56,0,0,12.61,0,0,0,0,0
FCLC.NE,0,0,0,0,0,0,0,0,0,0,0,0
XUS-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
XUS.TO,0.98,0.96,0.97,14.27,14.57,12.37,0.63,0.65,1.07,8.61,9.24,13.78
RNAV.NE,0,0,0,0,0,0,0,0,0,0,0,0
VAB.TO,1.05,1.01,1,6.36,5.98,5.05,-1.11,-0.25,0.08,-6.78,-1.67,0.3
VGRO.TO,1.06,1.1,0,11.29,12.08,0,0.35,0.37,0,3.22,3.6,0
ZEB.TO,0.98,1.01,0.83,17.62,19,15.71,0.66,0.28,0.54,11.17,3.57,9.17
CASH.TO,0,0,0,0,0,0,0,0,0,0,0,0
HBB.TO,1.06,1,0,6.41,5.96,0,-1.12,-0.3,0,-6.85,-1.94,0
VIU.TO,1.02,1.02,0,14.42,13.7,0,0.3,0.21,0,3.38,1.98,0
HXT-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
HXT.TO,1,0.94,0.94,14.09,15.4,12.03,0.62,0.45,0.61,8.19,6.43,7.32
ZLB.TO,0.72,0.71,0.66,11.61,12.92,10.22,0.66,0.56,0.88,10.47,9.6,13.5
VEQT.TO,0.98,0,0,12.96,0,0,0.53,0,0,6.44,0,0
ZCPB.TO,0.94,0.97,0,5.76,5.78,0,-1.24,-0.28,0,-7.58,-1.86,0
ZMU.TO,0.86,0.79,0.46,7.79,8.01,6.27,-0.87,-0.1,0.15,-8.08,-1.42,1.68
IGAF.TO,1.15,0,0,13.3,0,0,0.06,0,0,-0.02,0,0
FCGC.NE,0,0,0,0,0,0,0,0,0,0,0,0
XSEM.TO,1.1,0,0,15.53,0,0,-0.23,0,0,-4.28,0,0
ZFL.TO,1.14,1.01,1.02,13.35,12.3,10.45,-1.17,-0.37,-0.05,-13.61,-5.15,-1.08
VSP.TO,1.18,1.21,1.02,17.92,19.06,15.02,0.46,0.42,0.67,6.03,5.43,9.28
NUBF.TO,0.35,0,0,5.21,0,0,-0.48,0,0,-7.62,0,0
VBAL.TO,1.14,1.19,0,9.64,9.98,0,0.12,0.29,0,0.6,2.09,0
XSB.TO,1.09,1.07,1.05,2.49,2.27,1.87,-1.27,-0.26,0.02,-2.88,-0.57,0.01
HSAV.TO,0,0,0,0.55,0,0,12.14,0,0,0,0,0
HXS.TO,0.95,0.97,0.98,13.87,14.63,12.56,0.66,0.65,1.06,9.05,9.28,13.6
HXS-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
XQQ.TO,1.43,1.37,1.21,22.55,22.54,18.17,0.38,0.59,0.86,4.48,8.35,12.41
VDY.TO,1.03,0.92,0.93,15.81,16.69,13.21,0.89,0.46,0.55,13.69,7.08,7.19
XEQT.TO,1,0,0,13.16,0,0,0.52,0,0,6.23,0,0
FLCP.TO,1.03,0,0,6.27,0,0,-0.98,0,0,-6.03,0,0
ZUE.TO,1.18,1.21,1.02,17.9,18.99,14.97,0.46,0.42,0.67,5.92,5.38,9.24
XEG.TO,1.01,1.07,1.04,34.68,42.17,33,1.58,0.42,0.23,62.66,8.31,1.78
NSCE.TO,0.76,0,0,11.79,0,0,0.69,0,0,10.38,0,0
TCLB.TO,0.97,0,0,11.48,0,0,-1.14,0,0,-13.41,0,0
XGRO.TO,1.07,1.08,0.99,11.4,11.88,9.48,0.37,0.4,0.6,3.48,3.86,5.51
VEE.TO,0.96,0.98,0.98,13.52,14.52,13.32,-0.09,0.13,0.34,-2.2,0.86,3.75
ESGY.TO,0.97,0,0,14.3,0,0,0.67,0,0,9.38,0,0
ESGY-F.TO,0,0,0,0,0,0,0,0,0,0,0,0
XCB.TO,1.02,0.96,0.96,5.51,5.98,4.74,-0.91,-0.09,0.2,-4.94,-0.75,0.91
ZWU.TO,0.63,0.71,0.54,12.38,13.57,10.96,0.03,0.13,0.25,-0.52,1.22,4.05
NSCB.TO,0.97,0,0,5.89,0,0,-1.12,0,0,-6.88,0,0
ZWC.TO,0.88,0.88,0,12.75,14.93,0,0.62,0.24,0,8.69,2.82,0
ZQQ.TO,1.43,1.37,1.21,22.62,22.56,18.17,0.38,0.58,0.85,4.42,8.29,12.39
VXC.TO,0.99,1.01,0,12.94,13.74,0,0.47,0.45,0,5.5,5.37,0
XDV.TO,0.95,0.88,0.88,14.62,15.7,12.65,0.63,0.34,0.4,9.29,4.9,5.01
ZST-L.TO,0.06,0.1,0,0.64,0.58,0,-0.2,0.98,0,-0.78,3.86,0
ZST.TO,0.06,0.1,0.05,0.64,0.59,0.54,-0.2,0.95,1.1,-0.79,3.8,10.64
XEI.TO,1.02,1.03,1.02,15.55,18.06,14.03,0.88,0.4,0.42,13.4,5.67,4.99
VCE.TO,1,0.94,0.94,14.07,15.41,12.07,0.66,0.47,0.6,8.82,6.67,7.14
TTP.TO,1,0.99,0,13.98,16.09,0,0.64,0.42,0,8.52,5.76,0
ZCS-L.TO,1.1,1.14,0,2.64,2.84,0,-0.99,0,0,-2.35,-0.02,0
ZCS.TO,1.1,1.14,1.09,2.64,2.84,2.23,-0.99,0,0.3,-2.36,-0.02,0.6
REMD.NE,0,0,0,0,0,0,0,0,0,0,0,0
XIN.TO,0.89,1.01,0.88,13.81,14.97,12.61,0.73,0.36,0.5,10.92,4.36,6.4
XFN.TO,1,1.01,0.84,17.12,18.21,14.65,0.67,0.31,0.54,10.86,4.15,8.58
HXCN.TO,1,0,0,13.97,0,0,0.61,0,0,8.02,0,0
ZEM.TO,1.08,1.05,1.04,14.82,15.38,13.73,-0.16,0.07,0.3,-3.13,-0.11,3.17
QCN.TO,1,0.99,0,13.97,16.06,0,0.64,0.42,0,8.52,5.77,0
CACB.TO,1.03,0,0,5.58,0,0,-0.85,0,0,-4.7,0,0
RIIN.TO,0.91,0,0,12.03,0,0,0.42,0,0,5.08,0,0
TPE.TO,0.99,0.98,0,13.97,13.24,0,0.35,0.24,0,4.18,2.45,0
VSB.TO,1.05,1.04,1.02,2.4,2.2,1.82,-1.28,-0.25,0.03,-2.9,-0.57,0.03
VGG.TO,0.77,0.79,0.84,12.4,12.79,11.44,0.59,0.66,1.03,8.86,10.18,14.18
NHYB.TO,0.89,0,0,7.83,0,0,-0.05,0,0,-0.77,0,0
XSH.TO,1.11,1.15,1.1,2.65,2.86,2.24,-0.99,0.01,0.32,-2.34,0,0.64
ZMMK.TO,0,0,0,0,0,0,0,0,0,0,0,0
XFH.TO,0.86,1.01,0,13.3,15.03,0,0.77,0.39,0,11.66,4.82,0
TDB.TO,1,0.97,0,6.09,5.76,0,-1.12,-0.26,0,-6.85,-1.71,0
NREA.TO,0.92,0,0,13.12,0,0,0.34,0,0,4.07,0,0
XBAL.TO,1.14,1.16,1.01,9.68,9.75,7.5,0.18,0.37,0.54,1.11,2.78,3.82
ZGB.TO,1.1,1.04,0,6.67,6.22,0,-1.17,-0.29,0,-7.13,-1.92,0
ZFM.TO,1.16,0.97,0.98,7.26,6.51,5.47,-1.1,-0.31,-0.06,-6.91,-2.33,-0.48
ZDV.TO,0.94,0.97,0.96,13.79,16.53,12.93,0.75,0.36,0.4,10.76,4.91,4.69
VSC.TO,1.1,1.15,1.1,2.64,2.86,2.25,-0.99,0.01,0.31,-2.35,-0.02,0.61
RCDB.NE,1.02,0,0,2.38,0,0,-1.14,0,0,-2.64,0,0
CPD.TO,0.99,1,0.99,10.86,14.88,12.41,-0.05,-0.13,-0.01,-1.16,-3.1,-0.95
HPR.TO,1.07,1.08,1.03,11.75,16.26,12.94,0.19,-0.06,0.09,1.53,-2.14,0.29
XFR.TO,0.01,0.03,0.03,0.68,0.61,0.48,0.82,0.64,0.88,15.21,8.27,9.51
ZHY.TO,0.99,1.11,0.57,8.69,9.83,7.84,-0.16,-0.01,0.19,-1.82,-0.54,2.07
ZFS-L.TO,1.02,0.98,0,2.37,2.22,0,-1.44,-0.44,0,-3.28,-1.02,0
ZFS.TO,1.04,1,0.99,2.37,2.23,1.84,-1.49,-0.47,-0.25,-3.38,-1.1,-0.48
XGD.TO,1,1.03,1.03,28.98,32.58,34.86,-0.29,0.44,0.26,-11.86,9.62,3.16
XGB.TO,1.1,1.04,1.04,6.7,6.23,5.3,-1.17,-0.32,0,-7.12,-2.11,-0.12
CGL-C.TO,-0.07,-0.24,0.05,14.16,13.77,13.91,-0.09,0.64,0.39,31.24,-34.68,92.92
CGL.TO,0.04,-0.04,0.09,14.59,14.17,13.6,-0.15,0.51,0.16,-80.64,-186.68,14.2
FIE.TO,1.17,1.24,1.17,14.72,16.87,13.45,0.49,0.22,0.44,5.61,1.82,4.46
XRE.TO,1.01,1.12,0.81,19.35,20.56,15.84,0.25,0.08,0.3,3.17,-0.44,4.35
VBU.NE,0.67,0.5,0,6.37,5.83,0,-1.18,-0.33,0,-11.28,-4.22,0
PCOR.TO,0.46,0,0,5.01,0,0,-0.67,0,0,-7.59,0,0
MUB.TO,0.36,0.18,0,4.14,3.86,0,-0.86,-0.2,0,-9.96,-4.88,0
JAPN-B.TO,0.64,0.7,0,12.41,13.19,0,0.69,0.3,0,12.7,4.52,0
JAPN.TO,0.59,0.88,0,13.07,17.22,0,1.65,0.58,0,38.9,10.24,0
CDZ.TO,0.89,1,0.97,13.13,17.18,13.32,0.64,0.33,0.43,9.12,4.27,5.06
PFMN.TO,0,0,0,3.97,0,0,1.36,0,0,0,0,0
QBB.TO,1.02,0.97,0,6.19,5.78,0,-1.1,-0.26,0,-6.74,-1.7,0
FCGB.TO,0.54,0,0,5.95,0,0,-0.72,0,0,-8.23,0,0
XDIV.TO,0.81,0.85,0,12.79,15.22,0,1,0.48,0,16.11,7.66,0
ZDB.TO,1.07,1.02,0,6.52,6.07,0,-1.07,-0.22,0,-6.58,-1.53,0
XWD.TO,1.04,1,1.01,13.73,13.72,11.66,0.54,0.51,0.85,6.6,6.34,9.74
PDC.TO,0.92,0.89,0.88,13.89,15.7,12.34,0.66,0.36,0.5,9.64,5.12,6.31
PFIA.TO,0,0,0,3.4,0,0,0.23,0,0,0,0,0
VUS.TO,1.19,1.24,1.05,18.1,19.61,15.42,0.41,0.37,0.62,5.15,4.54,8.35
HSUV-U.TO,0.5,0,0,0.61,0,0,-0.34,0,0,-0.06,0,0
RTEC.NE,0,0,0,0,0,0,0,0,0,0,0,0
XLB.TO,1.04,1.01,1,12.05,11.6,9.77,-1.02,-0.25,0.09,-11.97,-3.54,0.45
FGO.TO,0.58,0.52,0,5.07,5.07,0,-1.23,-0.28,0,-10.92,-3.05,0
FGO-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
CBO.TO,1.17,1.18,1.14,2.8,2.81,2.23,-1.06,-0.1,0.17,-2.52,-0.27,0.32
ZWP.TO,0.88,0.87,0,15.11,13.9,0,0.52,0.26,0,7.98,3.1,0
PFL.TO,0,0.02,0,0.64,0.53,0,0.74,0.71,0,31.27,9.77,0
QQC-F.TO,1.43,1.37,1.21,22.65,22.52,18.19,0.4,0.6,0.86,4.68,8.52,12.52
QQC.TO,0,0,0,0,0,0,0,0,0,0,0,0
PSU-U.TO,0.52,0.37,0,0.61,0.5,0,-0.15,0.6,0,-0.02,0.12,0
ZEQ.TO,0.87,0.88,0,16.35,15.27,0,0.44,0.5,0,7.22,7.82,0
BTCC-J.TO,0,0,0,0,0,0,0,0,0,0,0,0
BTCC-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
BTCC.TO,0,0,0,0,0,0,0,0,0,0,0,0
BTCC-B.TO,0,0,0,0,0,0,0,0,0,0,0,0
VBG.NE,0.57,0.39,0,5.59,5.15,0,-1.23,-0.49,0,-11.99,-6.85,0
QDX.TO,0.99,0.98,0,13.96,13.22,0,0.35,0.23,0,4.18,2.27,0
HTB-U.TO,1.05,1.25,0,7.89,9.97,0,-1.16,-0.06,0,-8.75,-0.86,0
HTB.TO,0,0,0,0,0,0,0,0,0,0,0,0
CMR.TO,0,0,0,0.57,0.46,0.35,-3.43,-1.8,-2.18,0,0,0
ZDM.TO,0.91,1.02,0.88,13.92,14.88,12.51,0.74,0.39,0.54,10.95,4.8,7
ZJPN.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZBK.TO,1.35,1.48,0,27.68,28.81,0,0.26,0.03,0,2.53,-2.34,0
ZWE.TO,0.8,0.86,0,14.43,14.67,0,0.72,0.33,0,12.53,4.53,0
SITU.NE,0,0,0,0,0,0,0,0,0,0,0,0
DXG.TO,0.69,0.81,0,12.51,13.91,0,-0.08,0.51,0,-2.63,7.89,0
HISU-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
DGRC.TO,0.9,0.93,0,13.14,15.55,0,0.66,0.45,0,9.27,6.53,0
MFT.TO,0.18,0.58,0,3.82,6.88,0,0.48,0.09,0,10.11,0.68,0
XIT.TO,1.73,1.57,1.34,26.76,26.59,20.94,0.16,0.66,0.88,0.56,9.85,13.18
ZEF.TO,0.61,0.68,0.33,7.11,7.37,6.27,-0.93,-0.33,0.09,-10.91,-4,1.08
XHC.TO,0.8,0.82,0.81,13.77,14.26,12.54,0.4,0.42,0.7,6,6.25,10.35
MINT-B.TO,0.98,0.98,0,13.82,13.26,0,0.41,0.24,0,5.09,2.4,0
MINT.TO,0.86,1,0,13.22,14.67,0,0.84,0.4,0,12.7,4.94,0
BND.TO,0.35,0.01,0,5.81,7.17,0,-0.26,-0.04,0,-4.87,-41.35,0
ZGI.TO,0.99,1.03,1.02,13.75,14.05,12.29,0.4,0.35,0.61,4.91,4.04,6.95
VGH.TO,1,1.03,0.87,16.38,16.93,13.61,0.39,0.41,0.63,5.31,5.52,9.19
VEF.TO,0.9,1.03,0.88,13.88,15.21,12.61,0.67,0.34,0.49,9.76,4.08,6.36
CLG.TO,0.67,0.58,0.59,4.27,3.86,3.27,-1.16,-0.29,0.01,-7.46,-2.05,-0.04
MNY.TO,0,0,0,0,0,0,0,0,0,0,0,0
WSRI.TO,0.8,0,0,12.58,0,0,0.63,0,0,9.43,0,0
WXM.TO,0.86,1.05,1.01,14.2,18.7,14.5,0.35,0.33,0.52,4.78,4.37,6.74
HMAX.TO,0,0,0,0,0,0,0,0,0,0,0,0
NINT.TO,0,0,0,0,0,0,0,0,0,0,0,0
IFRF.TO,0.06,0,0,3.41,0,0,0.19,0,0,9.99,0,0
ZUQ-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZUQ-F.TO,1.25,0,0,19.12,0,0,0.41,0,0,5.13,0,0
ZUQ.TO,1.02,0.97,0,15.64,15.28,0,0.57,0.75,0,7.86,11.37,0
RGPM.NE,0,0,0,0,0,0,0,0,0,0,0,0
ZRE.TO,0.99,1.1,0.77,18.94,20.28,15.46,0.24,0.14,0.36,2.97,0.72,5.83
CLF.TO,1.18,1.12,1.11,2.7,2.47,2.03,-1.27,-0.35,-0.1,-2.93,-0.8,-0.21
MKB.TO,0.93,0.95,0,5.76,5.68,0,-1.15,-0.18,0,-7.1,-1.24,0
HEB.TO,0,0,0,0,0,0,0,0,0,0,0,0
RPF.TO,1.09,1.1,0,12.02,16.53,0,0.08,-0.12,0,0.26,-3.07,0
DXP.TO,1.03,0.99,0,11.42,15,0,0.4,0.03,0,4.03,-0.75,0
WSRD.TO,1.05,0,0,15.55,0,0,-0.13,0,0,-3,0,0
CCRE.TO,0,0,0,0,0,0,0,0,0,0,0,0
RIT.TO,0.97,1.03,0.72,17.5,18.33,13.81,0.18,0.13,0.49,1.74,0.71,8.34
NSAV.NE,0,0,0,0,0,0,0,0,0,0,0,0
CBIL.TO,0,0,0,0,0,0,0,0,0,0,0,0
QUIG.TO,0.82,0.77,0,7.86,7.76,0,-0.89,-0.12,0,-8.78,-1.66,0
CPLS.TO,0,0,0,0,0,0,0,0,0,0,0,0
RQO.TO,0.66,0,0,3.9,0,0,-1.1,0,0,-6.43,0,0
HXDM-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
HXDM.TO,0.99,0.99,0,14.15,13.41,0,0.33,0.21,0,3.91,1.97,0
HXQ-U.TO,1.23,1.13,0,19.84,18.91,0,0.48,0.78,0,6.43,12.41,0
HXQ.TO,0,0,0,0,0,0,0,0,0,0,0,0
QEBL.TO,0.77,0,0,7.98,0,0,-0.5,0,0,-5.48,0,0
VCNS.TO,0.96,0.96,0,8.16,8.13,0,-0.2,0.16,0,-2.1,1.02,0
FSF.TO,1.35,1.47,0,22.4,25.6,0,0.66,0.2,0,9.98,1.2,0
PMNT.TO,0.05,0,0,0.98,0,0,-0.48,0,0,-7.08,0,0
XSU.TO,1.34,1.34,1.2,22.33,24.55,19.74,0.27,0.08,0.3,2.85,-0.87,3.46
ZUB.TO,1.58,1.72,1.55,30.42,32.5,26.37,0.21,-0.02,0.23,1.02,-3.66,1.56
RQN.TO,1.08,1.36,0,2.75,3.62,0,-1.08,0.33,0,-2.65,0.86,0
MKC.TO,0.8,0.94,0,12.2,16.38,0,0.4,0.42,0,5.49,6.21,0
ZCM.TO,1.17,1.06,1.08,6.39,6.71,5.39,-0.84,-0.03,0.25,-4.7,-0.43,1.14
HYLD.TO,0,0,0,0,0,0,0,0,0,0,0,0
HYLD-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
NALT.TO,0,0,0,6.94,0,0,0.81,0,0,0,0,0
HULC-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
HULC.TO,0.96,0,0,14.08,0,0,0.6,0,0,8.24,0,0
ZDI.TO,0.99,1.05,0,14.74,15.28,0,0.7,0.26,0,9.92,2.77,0
FCIQ.TO,1.03,0,0,15.68,0,0,0.01,0,0,-1.06,0,0
QTIP.NE,0.51,0.35,0,6.89,6.08,0,-0.6,0,0,-8.68,-0.54,0
XTR.TO,0.85,0.99,0.94,7.76,9.5,7.38,0.22,0.17,0.36,1.78,1.21,2.63
HFR.TO,0.3,0.37,0.28,1.51,2.63,1.95,0.18,0.33,0.52,0.75,2.26,3.53
HCAL.TO,0,0,0,0,0,0,0,0,0,0,0,0
QCB.NE,1,0.88,0,5.36,5.51,0,-0.9,-0.1,0,-4.93,-0.79,0
QBTL.TO,0,0,0,17.26,0,0,-0.38,0,0,0,0,0
CDIV.TO,0,0,0,0,0,0,0,0,0,0,0,0
VDU.TO,1,1.03,1,14.26,13.99,12.32,0.31,0.21,0.46,3.59,1.96,5.1
XHY.TO,0.97,1.04,0.54,8.62,9.27,7.38,-0.13,0,0.23,-1.53,-0.38,2.67
RQL.TO,0.71,1.04,0,2.28,3.28,0,-0.61,0.45,0,-1.91,1.41,0
COW.TO,1.01,1.1,1,21.86,20.7,16.3,0.75,0.54,0.63,15.22,8.77,9.39
DXDB.TO,0,0,0,0,0,0,0,0,0,0,0,0
CUEI.TO,0,0,0,0,0,0,0,0,0,0,0,0
PSB.TO,1.23,1.24,1.18,2.96,3.1,2.43,-0.9,-0.02,0.24,-2.18,-0.1,0.48
ZLI.TO,0.84,0.78,0,12.66,11.48,0,0.03,0.01,0,-0.4,-0.64,0
XSUS.TO,1.01,0,0,14.67,0,0,0.53,0,0,6.94,0,0
ZUT.TO,0.56,0.59,0.5,13.86,14.4,12.16,-0.2,0.5,0.56,-6.65,11.01,12.88
ZGQ.TO,1.07,1.01,0,14.97,14.51,0,0.44,0.67,0,5.28,9.16,0
XRB.TO,1,0.98,0.99,10.15,9.29,8.3,-0.81,-0.23,0.03,-8.61,-2.61,-0.06
HDIV.TO,0,0,0,0,0,0,0,0,0,0,0,0
CINF.TO,0.91,0,0,11.9,0,0,0.46,0,0,5.54,0,0
IGCF.TO,0.84,0.79,0,7.58,7.87,0,-0.97,-0.23,0,-8.87,-2.66,0
MEME-B.TO,1.01,0,0,13.8,0,0,0.07,0,0,0.12,0,0
XESG.TO,1.02,0,0,14.26,0,0,0.57,0,0,7.48,0,0
FLSD.TO,1,0,0,2.41,0,0,-0.92,0,0,-2.22,0,0
CUD.TO,0.93,1.02,0.85,17.18,18.25,14.41,0.46,0.22,0.5,7.49,2.42,7.59
CBH.TO,0.72,0.62,0.65,4.05,4.04,3.31,-1.02,-0.1,0.2,-5.72,-0.75,0.98
ZUH.TO,1.12,1.17,1.07,17.65,19,16.12,-0.03,0.16,0.58,-1.91,1.16,7.86
FLGA.TO,0.5,0.32,0,4.94,5.35,0,-1.2,-0.2,0,-11.75,-3.95,0
CIF.TO,0.89,1.07,0.91,13.21,15.44,12.54,1.09,0.63,0.6,16.58,8.38,7.7
ZPS.TO,1.16,1.13,1.13,2.64,2.41,2.02,-1.34,-0.36,-0.04,-3.05,-0.8,-0.1
HDIF.TO,0,0,0,0,0,0,0,0,0,0,0,0
CAFR.TO,0.06,0,0,0.77,0,0,0.59,0,0,3.64,0,0
MWD.TO,0.78,0.82,0,11.13,11.98,0,-0.13,0.14,0,-2.66,1.25,0
PGL.NE,1.08,1.03,1.03,12.6,11.87,10.12,-1.09,-0.3,0.05,-12.68,-4.12,-0.04
FBAL.NE,0,0,0,0,0,0,0,0,0,0,0,0
MCLC.TO,0.98,0.96,0,13.9,15.86,0,0.84,0.45,0,11.78,6.36,0
HAB.TO,1,0.96,0.96,5.4,5.96,4.7,-0.9,-0.08,0.24,-4.89,-0.69,1.07
XQB.TO,0.94,0.91,0.89,5.74,5.44,4.5,-1.13,-0.25,0.07,-6.88,-1.66,0.27
NGPE.TO,0,0,0,23.4,0,0,0.53,0,0,0,0,0
FXM.TO,0.97,1.19,1.16,15.56,21.56,16.75,0.84,0.43,0.39,13.29,6.16,4.61
VVL.TO,1.06,1.29,0,17.24,20.48,0,0.98,0.31,0,15.94,3.38,0
CGBI.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZWK.TO,1.34,0,0,27.87,0,0,0.16,0,0,0.35,0,0
XGGB.NE,0.57,0.49,0,5.13,4.82,0,-1.4,-0.4,0,-12.6,-4.24,0
FCSI.TO,0,0,0,0,0,0,0,0,0,0,0,0
VRIF.TO,0.94,0,0,8.13,0,0,-0.06,0,0,-0.84,0,0
CWW.TO,1.16,1,0.96,17,15.46,12.83,0.31,0.5,0.77,3.52,6.84,9.94
PFLS.TO,0,0,0,9.81,0,0,1.06,0,0,0,0,0
RQP.TO,0.83,0,0,4.73,0,0,-0.97,0,0,-5.56,0,0
IGB.TO,0.35,0,0,5.78,7.02,0,-0.31,-0.19,0,-5.58,454.52,0
ZMP.TO,1.08,0.96,0.97,6.73,6.01,5.12,-0.98,-0.18,0.13,-6.19,-1.34,0.55
XEU.TO,0.98,0.98,0,16.31,15.24,0,0.38,0.26,0,5.24,2.98,0
FCUQ-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
FCUQ.TO,0.99,0,0,15.14,0,0,0.7,0,0,10.23,0,0
NRGI.NE,0,0,0,0,0,0,0,0,0,0,0,0
ZMBS.TO,0,0,0,1.94,0,0,-1.43,0,0,0,0,0
ZTL-F.NE,1.55,0,0,14.47,0,0,-1.34,0,0,-12.19,0,0
FCGS-U.NE,0,0,0,0,0,0,0,0,0,0,0,0
FCGS.NE,0,0,0,0,0,0,0,0,0,0,0,0
TERM.TO,0,0,0,0,0,0,0,0,0,0,0,0
FCCB.TO,1,0,0,6.13,0,0,-1.14,0,0,-6.95,0,0
VI.TO,0.88,1.04,0,13.67,15.49,0,0.72,0.36,0,10.82,4.38,0
VXM-B.TO,0.9,1.04,0,14.33,15.76,0,0.62,0.05,0,9.12,-0.39,0
VXM.TO,0.79,1.08,0,14.16,18.11,0,1.11,0.26,0,20.44,2.84,0
VRE.TO,1.04,1.15,0.84,19.74,21.4,16.34,0.23,0.07,0.31,2.69,-0.86,4.5
ZDJ.TO,1.03,1.1,0.94,17.62,18.64,15.03,0.37,0.28,0.58,5.05,3.21,8.55
VCB.TO,0.93,0.88,0,5.02,5.45,0,-0.9,-0.06,0,-4.92,-0.54,0
PLDI.TO,0.15,0,0,3.03,0,0,-0.17,0,0,-3.74,0,0
FIG.TO,0.58,0.59,0.4,5.1,5.25,4.31,-1.26,-0.3,0.09,-11.04,-2.97,0.78
FIG-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
HAZ.TO,0.81,0.77,0.83,12.18,12.01,10.94,0.57,0.62,0.88,8,9.12,11.49
HQU.TO,0,0,0,44.88,45.76,37.05,0.33,0.53,0.78,0,0,0
ETHX-B.TO,0,0,0,0,0,0,0,0,0,0,0,0
ETHX-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZLC.TO,0.95,0.99,0.93,11.27,11.82,9.59,-0.79,-0.13,0.2,-9.69,-2.24,1.57
SITB.NE,0,0,0,0,0,0,0,0,0,0,0,0
MHYB.NE,0.72,0.8,0,5.95,6.86,0,-0.28,0.09,0,-2.56,0.48,0
DRFC.TO,0.9,0.97,0,13.03,16.15,0,1.01,0.4,0,14.88,5.52,0
RTA.NE,0.54,0.52,0,7.54,7.8,0,0.19,0.52,0,2.15,7.55,0
QEBH.TO,0.86,0,0,9.04,0,0,-0.73,0,0,-8,0,0
RIRA.TO,0.66,0,0,11.2,0,0,0.19,0,0,2.45,0,0
HSH.TO,1.16,1.2,0,17.61,18.87,0,0.47,0.45,0,6.19,5.86,0
NBND.NE,0,0,0,0,0,0,0,0,0,0,0,0
UBIL-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
RBNK.TO,0.99,1.01,0,17.9,18.96,0,0.63,0.26,0,10.59,3.32,0
SITI.NE,0,0,0,0,0,0,0,0,0,0,0,0
XBM.TO,1.26,1.03,1.07,31.89,31.95,29.58,0.78,0.46,0.36,17.68,10.04,6.2
TPRF.TO,1.17,0,0,13.21,0,0,0.48,0,0,4.92,0,0
DXQ.TO,0,0,0,0,0,0,0,0,0,0,0,0
QIF.NE,0.93,0.96,0,12.28,12.47,0,0.28,0.3,0,3.09,3.17,0
ZEO.TO,0.75,0.85,0.84,25.87,33.69,26.87,1.48,0.4,0.2,56.92,9.28,1.88
XMD.TO,0.84,0.8,0.75,14.45,19.75,15.11,0.52,0.29,0.34,8.19,4.74,5.41
XEM.TO,1.07,1.02,1,15.09,15.28,13.57,-0.24,-0.02,0.26,-4.4,-1.35,2.62
