Ticker Name,3-Year BETA,5-Year BETA,10-Year BETA,3-Year Standard Deviation,5-Year Standard Deviation,10-Year Standard Deviation,3-Year Sharpe,5-Year Sharpe,10-Year Sharpe,3-Year Treynor Ratio,5-Year Treynor Ratio,10-Year Treynor Ratio
CFLX.TO,0.22,0,0,3.81,0,0,-0.43,0,0,-7.65,0,0
PSYK.NE,0,0,0,0,0,0,0,0,0,0,0,0
CLMT.TO,0,0,0,0,0,0,0,0,0,0,0,0
HGD.TO,0,0,0,55.61,57.61,64.61,0.24,-0.63,-0.35,0,0,0
SCGR.NE,0.92,0,0,15.38,0,0,-0.08,0,0,-2.61,0,0
EHE.TO,0.94,1.06,0,17.38,18.28,0,0.55,0.31,0,9.13,3.81,0
SID.TO,0.81,0.87,0,17.29,17.38,0,-0.07,0.11,0,-3.28,0.51,0
DCS.TO,0.99,0.99,0,2.28,2.1,0,-1.32,-0.27,0,-2.99,-0.6,0
QCLN.TO,1.4,1.31,0,34.75,30.62,0,-0.11,-0.15,0,-6.68,-6.98,0
FQC.TO,0.86,0.91,0,13.3,15.87,0,0.68,0.44,0,10.17,6.61,0
SCGI.NE,0.84,0,0,12.18,0,0,-0.17,0,0,-3.35,0,0
ZWHC.TO,0,0,0,0,0,0,0,0,0,0,0,0
QRET.TO,0.96,0,0,15.65,0,0,0.02,0,0,-0.91,0,0
XSHG.TO,0,0,0,0,0,0,0,0,0,0,0,0
YGOG.NE,0,0,0,0,0,0,0,0,0,0,0,0
GIQG-B.TO,1.1,0,0,16.35,0,0,0.1,0,0,0.29,0,0
GIQG.TO,1.34,0,0,19.32,0,0,0.05,0,0,-0.64,0,0
TMEU.TO,0,0,0,0,0,0,0,0,0,0,0,0
MESH.TO,0,0,0,0,0,0,0,0,0,0,0,0
BLOV.TO,0.69,0,0,13.12,0,0,0.1,0,0,0.74,0,0
FWCP.TO,0,0,0,0,0,0,0,0,0,0,0,0
CUDV.TO,0,0,0,0,0,0,0,0,0,0,0,0
RUDC.TO,0,0,0,0,0,0,0,0,0,0,0,0
PAYF.TO,0.41,0,0,8.59,0,0,0.46,0,0,8.95,0,0
TGGR.TO,1.11,0,0,15.49,0,0,0.55,0,0,7.02,0,0
BNC.TO,0.9,0.95,0,15.5,17.25,0,0.67,0.3,0,11.01,3.98,0
ZBBB.TO,0.65,0,0,4.16,0,0,-0.84,0,0,-5.44,0,0
MJJ.NE,1.83,1.97,0,50.68,48.82,0,-0.27,-0.3,0,-13.08,-12.05,0
FIXD.NE,1,0.96,0,6.26,6.24,0,-0.82,-0.2,0,-5.3,-1.56,0
CNCL.TO,0,0,0,0,0,0,0,0,0,0,0,0
QINF.TO,0.91,0,0,12.5,0,0,0.29,0,0,3.32,0,0
GCSC.TO,0,0,0,0,0,0,0,0,0,0,0,0
XFF.TO,0.76,0.98,0,12.81,15.38,0,0.79,0.29,0,13,3.4,0
XEXP.TO,0,0,0,0,0,0,0,0,0,0,0,0
HFD.TO,0,0,0,32.95,31.66,26.12,-0.72,-0.61,-0.83,0,0,0
ICAE.TO,0,0,0,0,0,0,0,0,0,0,0,0
PHE.TO,0,0,0,11.54,11.39,10.48,0.4,0.2,0.32,0,0,0
GGEM.TO,0,0,0,0,0,0,0,0,0,0,0,0
DCC.TO,1.31,1.35,0,3.13,3.42,0,-0.94,-0.04,0,-2.25,-0.14,0
XTLT.TO,0,0,0,0,0,0,0,0,0,0,0,0
EQE.NE,1.09,1.12,0,18.27,17.5,0,0.29,0.17,0,3.48,1.3,0
TUSB.TO,0.36,0,0,5.32,0,0,-0.24,0,0,-3.91,0,0
TUSB-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
MGAB.TO,0.57,0,0,5.36,0,0,-0.95,0,0,-8.98,0,0
CARB.TO,0,0,0,0,0,0,0,0,0,0,0,0
HMUS.NE,1.89,0,0,52.61,0,0,-0.33,0,0,-14.74,0,0
FDN.TO,1.16,0.96,0,22.28,19.41,0,-0.41,-0.21,0,-9.6,-6.06,0
FUD.TO,0.85,0.92,0.77,15.62,16.46,13.49,0.38,0.24,0.43,5.91,2.87,6.64
MEU.TO,0.8,0.83,0,13.93,13.53,0,-0.13,0.02,0,-3.45,-0.8,0
HUTE.TO,0,0,0,0,0,0,0,0,0,0,0,0
TPAY.TO,0.66,0,0,6.31,0,0,-0.98,0,0,-9.5,0,0
BNKL.TO,0,0,0,0,0,0,0,0,0,0,0,0
RUBH.TO,1.64,1.73,0,29.99,31.81,0,0.22,-0.04,0,1.26,-3.78,0
TMEI.TO,0,0,0,0,0,0,0,0,0,0,0,0
COPP.TO,0,0,0,0,0,0,0,0,0,0,0,0
RDE.NE,0.89,0.84,0,12.9,14.12,0,0.73,0.42,0,10.36,6.12,0
HLFE.TO,0,0,0,0,0,0,0,0,0,0,0,0
FINT.TO,1.08,1.05,0,15.59,14.77,0,0.18,0.29,0,1.6,3.14,0
MCKG.NE,0,0,0,0,0,0,0,0,0,0,0,0
XDLR.TO,0,0,0,0,0,0,0,0,0,0,0,0
FMTV.NE,0,0,0,0,0,0,0,0,0,0,0,0
BRKY.NE,0,0,0,0,0,0,0,0,0,0,0,0
FCLH.TO,0.89,0,0,15.04,0,0,0.38,0,0,5.41,0,0
MUSD-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
UTIL.TO,0,0,0,0,0,0,0,0,0,0,0,0
ARKW.TO,0,0,0,0,0,0,0,0,0,0,0,0
HED.TO,0,0,0,59.52,74.38,59.39,-1.85,-0.55,-0.39,0,0,0
GIGR.TO,1.04,0,0,17.76,0,0,-0.33,0,0,-7.06,0,0
XCLN.TO,0,0,0,0,0,0,0,0,0,0,0,0
CDNA.TO,0,0,0,0,0,0,0,0,0,0,0,0
HBKU.TO,0,0,0,0,0,0,0,0,0,0,0,0
TECI.TO,0,0,0,0,0,0,0,0,0,0,0,0
XHAK.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZSML-F.TO,1.33,0,0,22.16,0,0,0.48,0,0,6.56,0,0
TBNK.TO,0,0,0,0,0,0,0,0,0,0,0,0
ARKG.TO,0,0,0,0,0,0,0,0,0,0,0,0
XEMC.TO,0,0,0,0,0,0,0,0,0,0,0,0
HBFE.TO,0,0,0,0,0,0,0,0,0,0,0,0
HYDR.TO,0,0,0,0,0,0,0,0,0,0,0,0
HREU.TO,0,0,0,0,0,0,0,0,0,0,0,0
QQEQ.TO,0,0,0,0,0,0,0,0,0,0,0,0
XDNA.TO,0,0,0,0,0,0,0,0,0,0,0,0
FINO.TO,0,0,0,0,0,0,0,0,0,0,0,0
FLDM.TO,0.88,0.86,0,12.91,12.02,0,0.47,0.35,0,6.23,4.17,0
XFA.TO,1.05,1.13,0,16.64,18.63,0,0.41,0.24,0,5.52,2.4,0
HFT.TO,1.46,0,0,21.15,0,0,-0.26,0,0,-5.19,0,0
ZEAT.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZGEN.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZFIN.TO,0,0,0,0,0,0,0,0,0,0,0,0
IUMF-F.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BBIG.TO,0,0,0,0,0,0,0,0,0,0,0,0
XULR.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZINT.TO,0,0,0,0,0,0,0,0,0,0,0,0
MUSC.TO,1.22,1.27,0,19.84,23.1,0,0.46,0.14,0,6.32,0.4,0
HZD.TO,0,0,0,53.14,58.51,51.05,-0.14,-0.4,-0.13,0,0,0
FETH.TO,0,0,0,0,0,0,0,0,0,0,0,0
